Nakul Sengupta
Diya Lal
Jiya Bose
Sahil Malik
Aarav Kulkarni
Krish Kapoor
Vivaan Ahuja
Aarav Lal
Zara Das
Ruhi Joshi
Maahi Venkatesh
Dhruv Rathod
Aarav Singh
Riya Banerjee
Aishani Rao
Aarya Banerjee
Avantika Menon
Niharika Chawla
Niharika Chawla
Kiara Venkatesh
Varun Chakraborty
Veer Banerjee
Diya Bhatia
Ishaan Yadav
Esha Agarwal
Anushka Iyer
Meera Rao
Akash Malik
Ananya Verma
Vivaan Iyer
Meera Bose
Yuvan Pandey
Niharika Singh
Avantika Gupta
Anushka Chatterjee
Nikhil Kulkarni
Anushka Varghese
Advika Menon
Kabir Verma
Diya Chauhan
Ananya Sharma
Nakul Chawla
Aditi Desai
Arjun Verma
Siya Nair
Samarth Agarwal
Arya Shah
Ishaan Shah
Mohan Reddy
Aarya Venkatesh
Niharika Mehta
Anika Bhatia
Siddharth Jain
Niharika Ahuja
Meera Agarwal
Veer Ahuja
Tanya Singh
Anushka Reddy
Anika Malik
Udayan Bhatia
Naina Banerjee
Varun Ghosh
Tanishq Prasad
